method,seed,success_rate_pct,mean_return,frames
baseline,1,0.00,0.0000,2944000
baseline,2,0.00,0.0000,2944000
baseline,3,0.00,0.0000,2944000
se,1,0.00,0.0000,2944000
se,2,0.00,0.0000,2944000
se,3,0.00,0.0000,2944000
vcse,1,0.00,0.0000,2944000
vcse,2,96.02,0.8893,2944000
vcse,3,74.00,0.6852,2944000
si2e,1,62.50,0.5747,2944000
si2e,2,99.50,0.9262,2944000
si2e,3,35.50,0.3304,2944000
si2e,4,40.00,0.3683,2944000
si2e,5,100.00,0.9256,2944000
vcse,4,0.00,0.0000,2944000
vcse,5,100.00,0.9258,2944000
