method,seed,success_rate_pct,mean_return,frames
baseline,1,100.00,0.9511,2944000
baseline,2,100.00,0.9511,2944000
baseline,3,100.00,0.9511,2944000
se,1,100.00,0.9511,2944000
se,2,100.00,0.9511,2944000
se,3,100.00,0.9511,2944000
vcse,1,100.00,0.9511,2944000
vcse,2,100.00,0.9511,2944000
vcse,3,100.00,0.9511,2944000
vcse,1,100.00,0.9511,2944000
vcse,2,100.00,0.9511,2944000
vcse,3,100.00,0.9511,2944000
si2e,1,100.00,0.9511,2944000
si2e,2,100.00,0.9511,2944000
vcse,1,100.00,0.9511,2944000
vcse,2,100.00,0.9511,2944000
vcse,3,100.00,0.9511,2944000
si2e,3,100.00,0.9511,2944000
