500,64000,1033.7919672187968,59,0.0,0.0,0.0,0.0,493.625,247.74858097474544,73.0,720.0,1.9392212629318237,0.08009978383779526,0.003933534491807222,3.691789606818929e-05,"tensor(0.0034, device='cuda:0')",0.0,0.0,0.0,0.0
1000,128000,1044.3699631561951,119,0.014140624552965164,0.05476640339860578,0.0,0.22624999284744263,406.9375,282.4571801065606,7.0,720.0,1.9261164665222168,0.10341872274875641,0.0008740100311115384,4.324929977883585e-05,"tensor(0.0016, device='cuda:0')",0.014140624552965164,0.05476640339860578,0.0,0.22624999284744263
1500,192000,1082.745939230642,179,0.046406250447034836,0.17973063514129642,0.0,0.7425000071525574,278.1875,195.0715313513225,46.0,720.0,1.9349627494812012,0.11742645502090454,-0.0022356032859534025,3.335151632199995e-05,"tensor(0.0017, device='cuda:0')",0.046406250447034836,0.17973063514129642,0.0,0.7425000071525574
2000,256000,1195.5544787287108,238,0.03773437440395355,0.14614460364606754,0.0,0.6037499904632568,378.3125,247.90137120183502,22.0,720.0,1.9319268465042114,0.12346155941486359,-0.0026785735972225666,3.6136007111053914e-05,"tensor(0.0022, device='cuda:0')",0.03773437440395355,0.14614460364606754,0.0,0.6037499904632568
2500,320000,997.4452425099304,298,0.03226562589406967,0.09812920118829666,0.0,0.39500001072883606,552.125,232.8435298113306,56.0,720.0,1.9356352090835571,0.10838529467582703,-0.0007977124187164009,2.336850593565032e-05,"tensor(0.0011, device='cuda:0')",0.03226562589406967,0.09812920118829666,0.0,0.39500001072883606
3000,384000,1139.7492628061557,357,0.008515625260770321,0.03298087481750664,0.0,0.13625000417232513,531.4375,234.03898413245176,78.0,720.0,1.933406114578247,0.0905272364616394,0.0025773155502974987,2.6337562303524464e-05,"tensor(0.0021, device='cuda:0')",0.008515625260770321,0.03298087481750664,0.0,0.13625000417232513
3500,448000,1181.6553138852573,417,0.043046874925494194,0.11522139804996907,0.0,0.39375001192092896,435.6875,281.88643962374283,6.0,720.0,1.9304834604263306,0.09691108763217926,0.002513242419809103,3.7272497138474137e-05,"tensor(0.0020, device='cuda:0')",0.043046874925494194,0.11522139804996907,0.0,0.39375001192092896
4000,512000,1070.016028189843,476,0.0,0.0,0.0,0.0,464.25,270.35358791774894,6.0,720.0,1.9321725368499756,0.07583758234977722,0.0006954711279831827,4.072802767041139e-05,"tensor(0.0014, device='cuda:0')",0.0,0.0,0.0,0.0
4500,576000,1133.0047715823885,536,0.0,0.0,0.0,0.0,593.4375,222.6507828276155,51.0,720.0,1.93414306640625,0.08471468091011047,-0.0039458018727600574,0.00023923901608213782,"tensor(0.0056, device='cuda:0')",0.0,0.0,0.0,0.0
5000,640000,1185.8811138918402,596,0.0,0.0,0.0,0.0,649.5,178.3413160207135,62.0,720.0,1.9349817037582397,0.1006358414888382,-0.007644047960639,0.00026867646374739707,"tensor(0.0049, device='cuda:0')",0.0,0.0,0.0,0.0
