500,64000,1267.203202522742,59,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7558953762054443,-0.3622305989265442,-0.0033477770630270243,0.0006472700042650104,"tensor(0.0114, device='cuda:0')",0.0,0.0,0.0,0.0
1000,128000,949.4376492142708,119,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.8024218082427979,-0.3313092887401581,-0.007008083630353212,0.000650949077680707,"tensor(0.0110, device='cuda:0')",0.0,0.0,0.0,0.0
1500,192000,1035.2152531391725,179,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7938942909240723,-0.25654348731040955,-0.018618017435073853,0.0006307004950940609,"tensor(0.0144, device='cuda:0')",0.0,0.0,0.0,0.0
2000,256000,1074.7994266358096,240,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7871818542480469,-0.35923871397972107,-0.0003222778905183077,0.0005586902843788266,"tensor(0.0098, device='cuda:0')",0.0,0.0,0.0,0.0
2500,320000,1192.3416647048634,300,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7630095481872559,-0.3409551978111267,-0.010750580579042435,0.0005128498305566609,"tensor(0.0104, device='cuda:0')",0.0,0.0,0.0,0.0
3000,384000,1151.5028086694479,361,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.8176054954528809,-0.25192001461982727,-0.009465884417295456,0.0004671482602134347,"tensor(0.0078, device='cuda:0')",0.0,0.0,0.0,0.0
3500,448000,899.0372997612038,422,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7500872611999512,-0.3312183618545532,0.002288980409502983,0.0005174145917408168,"tensor(0.0113, device='cuda:0')",0.0,0.0,0.0,0.0
4000,512000,1018.0233689695582,482,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.742504358291626,-0.3185245096683502,0.0009095994755625725,0.0004834309220314026,"tensor(0.0094, device='cuda:0')",0.0,0.0,0.0,0.0
4500,576000,779.3206986250465,542,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.8103597164154053,-0.32356342673301697,-0.010342156514525414,0.0005849406588822603,"tensor(0.0072, device='cuda:0')",0.0,0.0,0.0,0.0
5000,640000,1216.9169736135257,601,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7805143594741821,-0.25946494936943054,-0.010850047692656517,0.0006778454408049583,"tensor(0.0072, device='cuda:0')",0.0,0.0,0.0,0.0
5500,704000,1212.722215320116,662,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7998604774475098,-0.3521779179573059,-0.0143735371530056,0.0007808095542714,"tensor(0.0128, device='cuda:0')",0.0,0.0,0.0,0.0
6000,768000,944.0999122496962,723,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.771855115890503,-0.309944748878479,-0.011500540189445019,0.0005705382209271193,"tensor(0.0092, device='cuda:0')",0.0,0.0,0.0,0.0
6500,832000,727.9191042679603,783,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.777338981628418,-0.2531889081001282,-0.012440292164683342,0.0005148336058482528,"tensor(0.0084, device='cuda:0')",0.0,0.0,0.0,0.0
7000,896000,1058.4243074229746,844,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7829484939575195,-0.31549006700515747,-0.006961273029446602,0.0005996677791699767,"tensor(0.0081, device='cuda:0')",0.0,0.0,0.0,0.0
7500,960000,1032.8115040928024,903,0.0,0.0,0.0,0.0,1080.0,0.0,1080.0,1080.0,1.7872841358184814,-0.30832523107528687,0.012494802474975586,0.00021060180733911693,"tensor(0.0108, device='cuda:0')",0.0,0.0,0.0,0.0
